,title,make,model,manufactured,reg_year,transmission_auto,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,dereg_value,mileage,omv,arf,opc_revised,opc_old,road_tax,type_of_vehicle_1,type_of_vehicle_2,type_of_vehicle_3,type_of_vehicle_4,make_model_1,make_model_2,make_model_3,make_model_4,make_model_5,make_model_6,make_model_7,make_model_8,make_model_9,make_model_10,category_almost new car,category_coe car,category_consignment car,category_direct owner sale,category_electric cars,category_hybrid cars,category_imported used vehicle,category_low mileage car,category_opc car,category_parf car,category_premium ad car,category_rare & exotic,category_sgcarmart warranty cars,category_sta evaluated car,category_vintage cars,fuel_type_diesel,fuel_type_electric,fuel_type_petrol-electric,coe_valid_time,price
3397,bmw m series m3 sedan competition package (coe till 01/2031),bmw,m3,2010.0,2011.0,1,1625.0,308.0,3999.0,3.0,16850.0,42683.0,40216.0,176000.0,76205.0,76205.0,0,0,4343.0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,174700.0
3398,nissan nv350 2.5m,nissan,nv350,2020.0,2020.0,0,1800.0,167.95500681911827,2488.0,1.0,8290.0,30603.0,28624.0,11000.0,25974.0,1299.0,0,0,1784.5240000000001,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,85200.0
3399,mercedes-benz glc-class glc43 amg 4matic,mercedes-benz,amg,2019.0,2020.0,1,1875.0,287.0,2996.0,1.0,24160.0,40989.0,111753.0,11420.0,70635.0,99143.0,0,0,2382.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,297000.0
3400,volkswagen scirocco 1.4a tsi (coe till 01/2031),volkswagen,scirocco,2010.0,2011.0,1,1285.0,118.0,1390.0,4.0,7920.0,38137.0,36006.0,169000.0,25268.0,25268.0,0,0,682.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,82300.0
3401,nissan nv200 1.6a dx,nissan,nv200,2018.0,2019.0,1,1220.0,105.00751407911827,1597.0,1.0,6070.0,27002.0,19922.0,27000.0,20700.0,1035.0,0,0,741.1405,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49300.0
3402,honda shuttle 1.5a g,honda,shuttle,2017.0,2018.0,1,1130.0,97.0,1496.0,1.0,8990.0,41400.0,33086.0,80000.0,18877.0,8877.0,0,0,682.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68000.0
3403,mazda 2 sp 1.5a (coe till 04/2022),mazda,2,2007.0,2007.0,1,1110.0,82.0,1498.0,2.0,8540.0,25115.0,3234.0,150000.0,11979.0,10187.0,0,0,1026.0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6100.0
3404,toyota prius hybrid 1.8a s,toyota,prius,2016.0,2018.0,1,1360.0,90.0,1797.0,1.0,10830.0,31001.0,37272.0,29700.0,26732.0,19425.0,0,0,974.0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,97900.0
3405,toyota harrier 2.0a premium panoramic,toyota,harrier,2014.0,2015.0,1,1610.0,111.0,1986.0,2.0,14380.0,76612.0,41917.0,115000.0,28404.0,21766.0,0,0,1196.0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69300.0
3406,toyota corolla altis 1.6a (coe till 02/2024),toyota,corolla,2008.0,2009.0,1,1195.0,80.0,1598.0,2.0,8950.0,12864.0,6295.0,140000.0,16084.0,16084.0,0,0,965.0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24100.0
3407,nissan nv200 1.5m,nissan,nv200,2016.0,2016.0,0,1260.0,95.39936703911827,1461.0,1.0,8180.0,26376.0,12509.0,95324.0,20513.0,1026.0,0,0,661.3765000000001,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,42700.0
3408,honda shuttle 1.5a g honda sensing,honda,shuttle,2019.0,2021.0,1,1130.0,95.3,1496.0,1.0,8260.0,41801.0,45617.0,644.0,21066.0,6493.0,0,0,682.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92200.0
3409,mitsubishi attrage 1.2a sports,mitsubishi,attrage,2018.0,2019.0,1,940.0,59.0,1193.0,1.0,7120.0,25920.0,23165.0,26000.0,13739.0,5000.0,0,0,506.0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61400.0
3410,mercedes-benz 190e (coe till 07/2028),mercedes-benz,190e,1990.0,1990.0,1,1565.0,119.13714207911826,1797.0,6.0,7050.0,36888.0,25589.0,36000.0,34260.0,54816.0,0,0,1460.9715,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,53800.0
3411,honda jazz 1.3a,honda,jazz,2019.0,2019.0,1,1052.0,73.0,1318.0,1.0,8580.0,25689.0,24306.0,25453.0,15682.0,5682.0,0,0,578.0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76800.0
3412,mercedes-benz e-class e200 cgi (coe till 09/2030),mercedes-benz,e200,2010.0,2010.0,1,1615.0,135.0,1796.0,1.0,8320.0,34935.0,31738.0,105000.0,44433.0,44433.0,0,0,1071.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,83100.0
3413,land rover discovery sport diesel 2.0a se 5-seater,land rover,discovery,2017.0,2017.0,1,1846.0,110.0,1999.0,1.0,15450.0,49996.0,67819.0,53087.0,41004.0,49406.0,0,0,1812.0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,131800.0
3414,honda vezel hybrid 1.5a x,honda,vezel,2017.0,2017.0,1,1280.0,112.0,1496.0,1.0,10430.0,53711.0,35829.0,59773.0,28868.0,5000.0,0,0,682.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,71300.0
3415,mazda 2 hb 1.5a deluxe,mazda,2,2016.0,2017.0,1,1036.0,85.0,1496.0,1.0,9240.0,48401.0,31950.0,46300.0,17274.0,7274.0,0,0,682.0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59600.0
3416,toyota estima 2.4a aeras (coe till 07/2023),toyota,estima,2008.0,2008.0,1,1770.0,125.0,2362.0,3.0,13650.0,18444.0,7024.0,145000.0,27918.0,27918.0,0,0,2293.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,28600.0
3417,honda civic 1.6a vti,honda,civic,2016.0,2016.0,1,1249.0,92.0,1597.0,1.0,10850.0,53334.0,42162.0,74112.0,19491.0,19491.0,0,0,742.0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,72400.0
3418,mercedes-benz e-class e200k (coe till 05/2028),mercedes-benz,e200,2008.0,2008.0,1,1540.0,135.0,1796.0,2.0,8250.0,38712.0,26207.0,110000.0,51278.0,51278.0,0,0,1266.0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,61400.0
3419,volkswagen polo gp 1.2a tsi sunroof,volkswagen,polo,2017.0,2017.0,1,1139.0,66.0,1197.0,1.0,8600.0,53001.0,34028.0,51250.0,17610.0,7610.0,0,0,508.0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57000.0
3420,nissan gtr 3.8a (coe till 08/2028),nissan,gtr,2008.0,2008.0,1,1740.0,353.0,3799.0,6.0,29440.0,34991.0,24475.0,145000.0,76968.0,76968.0,0,0,4727.0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,226500.0
3421,kia cerato forte 1.6m ex (coe till 05/2024),kia,cerato,2009.0,2009.0,0,1227.0,92.7,1591.0,2.0,6430.0,13943.0,7716.0,166000.0,10290.0,8074.0,0,0,959.0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,19600.0
3422,renault clio 1.2a tce,renault,clio,2016.0,2017.0,1,1090.0,87.0,1197.0,1.0,9670.0,51600.0,33268.0,83400.0,14300.0,5000.0,0,0,508.0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63600.0
3423,bmw 3 series 316i sport,bmw,316i,2014.0,2014.0,1,1405.0,100.0,1598.0,2.0,15030.0,70002.0,38223.0,95000.0,35780.0,32092.0,0,0,742.0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62500.0
3424,honda stream 1.8a (coe till 05/2028),honda,stream,2008.0,2008.0,1,1370.0,103.0,1799.0,6.0,6770.0,38712.0,26207.0,145000.0,20643.0,20643.0,0,0,1369.0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,50400.0
3425,bmw m series m135i 5dr,bmw,m135i,2020.0,2021.0,1,1525.0,225.0,1998.0,1.0,19880.0,49489.0,84788.0,7500.0,49178.0,60850.0,0,0,1210.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,242000.0
3426,toyota c-hr hybrid 1.8a s,toyota,c-hr,2017.0,2017.0,1,1440.0,90.0,1797.0,1.0,10680.0,52751.0,35330.0,59773.0,28118.0,5000.0,0,0,974.0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,73200.0
3427,kia cerato 1.6a ex,kia,cerato,2018.0,2019.0,1,1287.0,93.8,1591.0,2.0,9060.0,29159.0,33256.0,51500.0,14389.0,14389.0,0,0,738.0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,84700.0
3428,nissan nv200 1.5m,nissan,nv200,2015.0,2015.0,0,1320.0,95.39936703911827,1461.0,1.0,7990.0,50098.0,18735.0,86500.0,20122.0,1007.0,0,0,661.3765000000001,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32900.0
3429,toyota vios 1.5a e (new 5-yr coe),toyota,vios,2011.0,2011.0,1,1095.0,80.0,1497.0,2.0,7000.0,44202.64355053101,28206.858457626266,114800.0,11539.0,11539.0,0,0,684.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38500.0
3430,mercedes-benz s-class s400l sunroof,mercedes-benz,s400l,2015.0,2015.0,1,1935.0,245.0,2996.0,2.0,26310.0,65501.0,132701.0,117000.0,98741.0,149734.0,0,0,2382.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,205600.0
3431,bmw m series m135i 5dr,bmw,m135i,2015.0,2015.0,1,1450.0,240.0,2979.0,3.0,18620.0,57885.0,53072.0,84000.0,35899.0,42259.0,0,0,2362.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106500.0
3432,porsche macan 2.0a pdk,porsche,macan,2021.0,2021.0,1,1795.0,185.0,1984.0,1.0,30800.0,45001.0,107638.0,10000.0,63360.0,86048.0,0,0,1194.0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,371800.0
3433,mitsubishi lancer 1.6m glx (coe till 10/2023),mitsubishi,lancer,2008.0,2008.0,0,1162.0,79.0,1584.0,2.0,7320.0,15142.0,6538.0,164000.0,10000.0,10000.0,0,0,954.0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,17400.0
3434,mitsubishi asx 2.0a,mitsubishi,asx,2017.0,2017.0,1,1365.0,110.0,1998.0,1.0,9720.0,53711.0,46541.0,82000.0,16829.0,16829.0,0,0,1210.0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76800.0
3435,mazda 3 1.5a sunroof,mazda,3,2016.0,2016.0,1,1321.0,88.0,1496.0,3.0,9320.0,50000.0,34794.0,81663.0,17200.0,12200.0,0,0,682.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,59300.0
3436,mazda 5 2.0a sunroof,mazda,2,2017.0,2017.0,1,1532.0,111.0,1998.0,2.0,10030.0,49996.0,44068.0,76000.0,17537.0,17537.0,0,0,1210.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,77900.0
3437,porsche cayenne 3.6a tip (coe till 06/2028),porsche,cayenne,2009.0,2009.0,1,2245.0,213.0,3598.0,4.0,11830.0,37906.0,25901.0,133000.0,84001.0,84001.0,0,0,3986.0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,88900.0
3438,mercedes-benz c-class c160 avantgarde,mercedes-benz,c160,2019.0,2020.0,1,1505.0,95.0,1497.0,1.0,15560.0,33000.0,58876.0,11000.0,33371.0,38720.0,0,0,684.0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,176000.0
3439,audi q7 3.0a tfsi quattro (coe till 09/2030),audi,q7,2010.0,2011.0,1,2250.0,200.0,2995.0,2.0,12620.0,34935.0,31681.0,108000.0,70610.0,70610.0,0,0,2618.0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,125900.0
3440,bmw 5 series 523i (new 10-yr coe),bmw,523i,2011.0,2011.0,1,1650.0,150.0,2497.0,2.0,11880.0,44202.64355053101,51471.69971257626,170000.0,49344.0,49344.0,0,0,1796.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,130800.0
3441,mercedes-benz e-class e250 cgi elegance sunroof (coe till 06/2030),mercedes-benz,e250,2009.0,2010.0,1,1650.0,150.0,1796.0,2.0,9420.0,33568.0,29512.0,109000.0,54211.0,54211.0,0,0,1169.0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,91100.0
3442,toyota dyna 150 3.0m (coe till 11/2024),toyota,dyna,2005.0,2005.0,0,1800.0,203.13778053911827,2986.0,2.0,8200.0,13156.0,8600.0,233280.0,23690.0,1185.0,0,0,3553.017,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,29500.0
3443,isuzu nhr85a,isuzu,nhr85a,2015.0,2015.0,1,1980.0,204.05620635911828,2999.0,1.0,8930.0,39882.0,17045.0,86500.0,26916.0,1346.0,0,0,2383.927,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42000.0
3444,nissan sylphy 1.6a premium,nissan,sylphy,2015.0,2016.0,1,1205.0,85.0,1598.0,1.0,9180.0,56989.0,36645.0,46389.0,16283.0,16283.0,0,0,742.0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,53700.0
3445,mercedes-benz a-class hatchback a180 amg line executive,mercedes-benz,a180,2020.0,2020.0,1,1395.0,90.0,1332.0,1.0,10610.0,51350.575454981066,35556.0,50.0,28000.0,33311.15032,0,0,586.0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,171600.0
3446,volvo v40 diesel d2,volvo,v40,2015.0,2015.0,1,1427.0,84.0,1560.0,2.0,11010.0,68589.0,31951.0,91000.0,23641.0,10098.0,0,0,1144.0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,50400.0
3447,honda shuttle 1.5a g,honda,shuttle,2016.0,2016.0,1,1130.0,97.0,1496.0,2.0,9940.0,50951.0,33619.0,66446.0,19146.0,9146.0,0,0,682.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,62500.0
3448,isuzu cyz52r (new 10-yr coe),isuzu,cyz52r,2012.0,2013.0,0,14500.0,1100.0159178391182,15681.0,1.0,13870.0,45791.072862631176,24104.049394096262,93520.5,97425.0,4872.0,0,0,976.0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,152700.0
3449,porsche 911 carrera coupe 3.0a pdk,porsche,911,2020.0,2020.0,1,1545.0,300.0,2981.0,1.0,10610.0,10.0,35556.0,11000.0,139000.0,165366.06766,0,0,2364.0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,573100.0
3450,mercedes-benz g-class g63 amg 4matic,mercedes-benz,amg,2019.0,2020.0,1,2560.0,430.0,3982.0,1.0,54800.0,37705.0,225255.0,22000.0,158491.0,257284.0,0,0,3922.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,657800.0
3451,peugeot partner 1.6a hdi lwb,peugeot,partner,2015.0,2016.0,1,1440.0,102.39353289911827,1560.0,2.0,7270.0,17872.0,8554.0,74112.0,18505.0,926.0,0,0,719.44,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38300.0
3452,bmw 1 series 125i coupe (coe till 10/2030),bmw,125i,2010.0,2010.0,1,1430.0,160.0,2996.0,6.0,7270.0,38216.0,35117.0,179862.0,32296.0,32296.0,0,0,2620.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,73500.0
3453,nissan cabstar (coe till 10/2023),nissan,cabstar,2008.0,2008.0,0,1800.0,200.80639191911825,2953.0,5.0,9090.0,14699.0,6403.0,145000.0,25465.0,1274.0,0,0,3028.9597000000003,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,21800.0
3454,porsche 911 turbo cabriolet 3.8a pdk (new 10-yr coe),porsche,911,2009.0,2012.0,1,1745.0,368.0,3800.0,1.0,35780.0,44996.85820658109,83334.16290041627,70000.0,101120.0,101120.0,0,0,3638.0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,10,393800.0
3455,subaru legacy 2.0i (coe till 11/2024),subaru,legacy,2009.0,2009.0,1,1470.0,110.0,1994.0,2.0,6390.0,19565.0,12682.0,200000.0,24069.0,24069.0,0,0,1447.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,22800.0
3456,mercedes-benz c-class c180 avantgarde,mercedes-benz,c180,2019.0,2019.0,1,1490.0,115.0,1595.0,1.0,15840.0,37000.0,65258.0,16000.0,38805.0,46327.0,0,0,740.0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,169200.0
3457,honda shuttle 1.5a g honda sensing,honda,shuttle,2019.0,2020.0,1,1130.0,95.0,1496.0,1.0,8820.0,32889.0,35262.0,12125.0,20309.0,10433.0,0,0,682.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,86700.0
3458,alpine a110 1.8a legende,alpine,a110,2021.0,2021.0,1,1086.0,185.0,1798.0,1.0,23750.0,60001.0,114241.0,644.0,57000.0,74600.0,0,0,976.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,294800.0
3459,toyota dyna 150 3.0m,toyota,dyna,2014.0,2015.0,0,1660.0,202.85518797911826,2982.0,3.0,11540.0,30716.0,11655.0,130000.0,30365.0,1519.0,0,0,2363.986,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48200.0
3460,nissan sylphy 1.5a (new 5-yr coe),nissan,sylphy,2011.0,2011.0,1,1175.0,80.0,1498.0,2.0,7160.0,44202.64355053101,32297.359709356264,144800.0,18186.0,18186.0,0,0,684.0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39400.0
3461,honda stream 1.8a rsz (coe till 08/2023),honda,stream,2008.0,2008.0,1,1370.0,103.0,1799.0,2.0,7560.0,17496.0,6855.0,156000.0,19410.0,19410.0,0,0,1271.0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16300.0
3462,bmw 5 series 528i (coe till 03/2029),bmw,528i,1997.0,1999.0,1,1620.0,180.0,2793.0,6.0,6400.0,33018.0,25103.0,114164.0,50400.0,70560.0,0,0,3216.0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,53900.0
3463,mazda cx-5 2.0a premium,mazda,2,2019.0,2019.0,1,1576.0,121.0,1998.0,1.0,12590.0,40000.0,54106.0,25000.0,28137.0,31392.0,0,0,1210.0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,131800.0
3464,honda shuttle hybrid 1.5a,honda,shuttle,2017.0,2017.0,1,1190.0,101.0,1496.0,2.0,10760.0,52751.0,35258.0,65000.0,20331.0,5000.0,0,0,682.0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,73500.0
3465,mercedes-benz glb-class glb200 amg line premium plus 7-seater,mercedes-benz,amg,2020.0,2020.0,1,1555.0,120.0,1332.0,1.0,18140.0,39889.0,77023.0,7770.0,48709.0,60193.0,0,0,586.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,215600.0
3466,toyota alphard hybrid 2.5a sr c-package,toyota,alphard,2020.0,2020.0,1,2010.0,145.0,2493.0,1.0,10610.0,10.0,35556.0,50.0,60000.0,71381.03640000001,0,0,1790.3890000000001,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,277200.0
3467,honda hr-v 1.5a lx,honda,hr-v,2020.0,2020.0,1,1200.0,96.0,1496.0,1.0,9450.0,33301.0,45882.0,9800.0,22455.0,23437.0,0,0,682.0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,102100.0
3468,honda stream 1.8a rsz (coe till 08/2023),honda,stream,2008.0,2008.0,1,1370.0,103.0,1799.0,4.0,7970.0,17496.0,6941.0,193000.0,19080.0,17997.0,0,0,1271.0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17400.0
3469,volvo s60 t4,volvo,s60,2012.0,2012.0,1,1470.0,132.0,1596.0,1.0,11840.0,63000.0,24386.0,104000.0,31911.0,31911.0,0,0,742.0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31700.0
3470,honda freed 1.5a g honda sensing,honda,freed,2019.0,2020.0,1,1360.0,96.0,1496.0,1.0,9960.0,35320.0,49625.0,19238.0,24794.0,26712.0,0,0,682.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,106500.0
3471,porsche 911 carrera s coupe 3.0a pdk,porsche,911,2017.0,2017.0,1,1210.0,309.0,2981.0,1.0,54960.0,48209.0,217079.0,20777.0,156406.0,253531.0,0,0,2364.0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,477200.0
3472,bmw 6 series 640i coupe sunroof (new 10-yr coe),bmw,640i,2011.0,2011.0,1,1660.0,235.0,2979.0,6.0,12270.0,44202.64355053101,68878.02255072625,119500.0,77629.0,77629.0,0,0,2362.0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,135100.0
3473,jaguar xj 2.0a tss premium luxury swb sunroof,jaguar,xj,2014.0,2015.0,1,1729.0,177.0,1999.0,1.0,18630.0,68668.0,87428.0,52000.0,69377.0,96879.0,0,0,1212.0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,126300.0
3474,toyota wish 1.8a (coe till 02/2024),toyota,wish,2009.0,2009.0,1,1310.0,97.0,1794.0,2.0,8920.0,15967.0,8032.0,140000.0,18662.0,18662.0,0,0,1264.0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24700.0
3475,mercedes-benz v-class v260l avantgarde,mercedes-benz,v260l,2018.0,2019.0,1,2460.0,155.0,1991.0,1.0,20600.0,35403.0,75771.0,27000.0,51794.0,65230.0,0,0,1202.0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,207700.0
